ID,TANK,SPECIES,TREATMENT,AGE,STATUS,TILE,ST,,,,,,,,,,,,,,
3EN2-6_3,E,PCLI,NATURAL,14,0,3EN2-6,PCLINATURAL,,,,,,,,,,,,,,
3ES2-1_1,E,PCLI,SUNLIGHT,14,0,3ES2-1,PCLISUNLIGHT,,,,,,,,,,,,,,
3ES2-1_2,E,PCLI,SUNLIGHT,14,0,3ES2-1,PCLISUNLIGHT,,,,,,,,,,,,,,
3ES2-1_3,E,PCLI,SUNLIGHT,14,0,3ES2-1,PCLISUNLIGHT,,,,,,,,,,,,,,
3ES2-3_1,E,PCLI,SUNLIGHT,14,0,3ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
3ES2-3_2,E,PCLI,SUNLIGHT,14,0,3ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
3ES2-3_3,E,PCLI,SUNLIGHT,14,0,3ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
4EB2-4_1,E,PCLI,BLUE,14,0,4EB2-4,PCLIBLUE,,,,,,,,,,,,,,
4EB2-4_2,E,PCLI,BLUE,14,0,4EB2-4,PCLIBLUE,,,,,,,,,,,,,,
4EB2-4_4,E,PCLI,BLUE,14,0,4EB2-4,PCLIBLUE,,,,,,,,,,,,,,
4EB2-5_2,E,PCLI,BLUE,14,0,4EB2-5,PCLIBLUE,,,,,,,,,,,,,,
4EB2-5_3,E,PCLI,BLUE,14,0,4EB2-5,PCLIBLUE,,,,,,,,,,,,,,
4EB2-5_4,E,PCLI,BLUE,14,0,4EB2-5,PCLIBLUE,,,,,,,,,,,,,,
4EN2-10_1,E,PCLI,NATURAL,14,0,4EN2-10,PCLINATURAL,,,,,,,,,,,,,,
4EN2-10_2,E,PCLI,NATURAL,14,0,4EN2-10,PCLINATURAL,,,,,,,,,,,,,,
4EN2-10_3,E,PCLI,NATURAL,14,0,4EN2-10,PCLINATURAL,,,,,,,,,,,,,,
4EN2-10_4,E,PCLI,NATURAL,14,0,4EN2-10,PCLINATURAL,,,,,,,,,,,,,,
4EN2-9_1,E,PCLI,NATURAL,14,0,4EN2-9,PCLINATURAL,,,,,,,,,,,,,,
4EN2-9_2,E,PCLI,NATURAL,14,0,4EN2-9,PCLINATURAL,,,,,,,,,,,,,,
4EN2-9_3,E,PCLI,NATURAL,14,0,4EN2-9,PCLINATURAL,,,,,,,,,,,,,,
4ES2-2_1,E,PCLI,SUNLIGHT,14,0,4ES2-2,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-2_2,E,PCLI,SUNLIGHT,14,0,4ES2-2,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-2_3,E,PCLI,SUNLIGHT,14,0,4ES2-2,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-2_4,E,PCLI,SUNLIGHT,14,0,4ES2-2,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-3_1,E,PCLI,SUNLIGHT,14,0,4ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-3_2,E,PCLI,SUNLIGHT,14,0,4ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-3_3,E,PCLI,SUNLIGHT,14,0,4ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
4ES2-3_4,E,PCLI,SUNLIGHT,14,0,4ES2-3,PCLISUNLIGHT,,,,,,,,,,,,,,
5EB2-2_1,E,PCLI,BLUE,14,0,5EB2-2,PCLIBLUE,,,,,,,,,,,,,,
5EB2-2_4,E,PCLI,BLUE,14,0,5EB2-2,PCLIBLUE,,,,,,,,,,,,,,
5EB2-9_1,E,PCLI,BLUE,14,0,5EB2-9,PCLIBLUE,,,,,,,,,,,,,,
5EB2-9_2,E,PCLI,BLUE,14,0,5EB2-9,PCLIBLUE,,,,,,,,,,,,,,
5EB2-9_3,E,PCLI,BLUE,14,0,5EB2-9,PCLIBLUE,,,,,,,,,,,,,,
5EB2-9_4,E,PCLI,BLUE,14,0,5EB2-9,PCLIBLUE,,,,,,,,,,,,,,
5EB2-9_5,E,PCLI,BLUE,14,0,5EB2-9,PCLIBLUE,,,,,,,,,,,,,,
5EN2-4_1,E,PCLI,NATURAL,14,0,5EN2-4,PCLINATURAL,,,,,,,,,,,,,,
5EN2-4_2,E,PCLI,NATURAL,14,0,5EN2-4,PCLINATURAL,,,,,,,,,,,,,,
5EN2-4_3,E,PCLI,NATURAL,14,0,5EN2-4,PCLINATURAL,,,,,,,,,,,,,,
5EN2-4_4,E,PCLI,NATURAL,14,0,5EN2-4,PCLINATURAL,,,,,,,,,,,,,,
5EN2-7_1,E,PCLI,NATURAL,14,0,5EN2-7,PCLINATURAL,,,,,,,,,,,,,,
5EN2-7_2,E,PCLI,NATURAL,14,0,5EN2-7,PCLINATURAL,,,,,,,,,,,,,,
5EN2-7_3,E,PCLI,NATURAL,14,0,5EN2-7,PCLINATURAL,,,,,,,,,,,,,,
5EN2-7_4,E,PCLI,NATURAL,14,0,5EN2-7,PCLINATURAL,,,,,,,,,,,,,,
5EN2-7_5,E,PCLI,NATURAL,14,0,5EN2-7,PCLINATURAL,,,,,,,,,,,,,,
5ES2-6_1,E,PCLI,SUNLIGHT,14,0,5ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-6_2,E,PCLI,SUNLIGHT,14,1,5ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-6_3,E,PCLI,SUNLIGHT,14,0,5ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-6_5,E,PCLI,SUNLIGHT,14,0,5ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-8_1,E,PCLI,SUNLIGHT,14,0,5ES2-8,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-8_3,E,PCLI,SUNLIGHT,14,0,5ES2-8,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-8_4,E,PCLI,SUNLIGHT,14,0,5ES2-8,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-8_5,E,PCLI,SUNLIGHT,14,0,5ES2-8,PCLISUNLIGHT,,,,,,,,,,,,,,
6EB2-6_4,E,PCLI,BLUE,14,0,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
6EB2-6_5,E,PCLI,BLUE,14,0,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
6EB2-6_6,E,PCLI,BLUE,14,0,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
6EN2-5_2,E,PCLI,NATURAL,14,0,6EN2-5,PCLINATURAL,,,,,,,,,,,,,,
6EN2-5_3,E,PCLI,NATURAL,14,0,6EN2-5,PCLINATURAL,,,,,,,,,,,,,,
6EN2-5_4,E,PCLI,NATURAL,14,0,6EN2-5,PCLINATURAL,,,,,,,,,,,,,,
6EN2-5_5,E,PCLI,NATURAL,14,0,6EN2-5,PCLINATURAL,,,,,,,,,,,,,,
6ES2-4_1,E,PCLI,SUNLIGHT,14,0,6ES2-4,PCLISUNLIGHT,,,,,,,,,,,,,,
6ES2-4_2,E,PCLI,SUNLIGHT,14,0,6ES2-4,PCLISUNLIGHT,,,,,,,,,,,,,,
6ES2-4_3,E,PCLI,SUNLIGHT,14,0,6ES2-4,PCLISUNLIGHT,,,,,,,,,,,,,,
6ES2-4_4,E,PCLI,SUNLIGHT,14,0,6ES2-4,PCLISUNLIGHT,,,,,,,,,,,,,,
6ES2-4_5,E,PCLI,SUNLIGHT,14,0,6ES2-4,PCLISUNLIGHT,,,,,,,,,,,,,,
6ES2-4_6,E,PCLI,SUNLIGHT,14,0,6ES2-4,PCLISUNLIGHT,,,,,,,,,,,,,,
7EB2-2_1,E,PCLI,BLUE,14,0,7EB2-2,PCLIBLUE,,,,,,,,,,,,,,
